GMT,X,Y,Z,Temperature
2023-11-25 11:40,-5,7,-23,10.5
2023-11-25 11:40,-4,4,-22,10.5
2023-11-25 11:40,-3,3,-21,10.5
2023-11-25 11:40,-3,4,-22,10.5
2023-11-25 11:40,-4,6,-22,10.5
2023-11-25 11:40,-6,5,-21,10.5
2023-11-25 11:40,-3,1,-22,10.5
2023-11-25 11:40,-6,5,-22,10.5
2023-11-25 11:40,-6,7,-23,10.5
2023-11-25 11:40,1,4,-21,10.5
2023-11-25 11:40,-3,4,-23,10.5
2023-11-25 11:40,-4,3,-20,10.5
2023-11-25 11:40,-4,4,-23,10.5
2023-11-25 11:40,-5,5,-23,10.5
2023-11-25 11:40,-4,0,-23,10.5
2023-11-25 11:40,-1,1,-23,10.5
2023-11-25 11:40,-3,4,-23,10.5
2023-11-25 11:40,-6,7,-23,10.5
2023-11-25 11:40,-3,4,-22,10.5
2023-11-25 11:40,-7,3,-21,10.5
2023-11-25 11:40,-4,4,-22,10.5
2023-11-25 11:40,-7,7,-21,10.5
2023-11-25 11:40,-6,5,-21,10.5
2023-11-25 11:40,-7,9,-23,10.5
2023-11-25 11:40,-8,6,-22,10.5
2023-11-25 11:40,-3,5,-23,10.5
2023-11-25 11:40,-3,5,-21,10.5
2023-11-25 11:40,-4,4,-21,10.5
2023-11-25 11:40,-2,4,-23,10.5
2023-11-25 11:40,-3,5,-22,10.5
2023-11-25 11:41,-2,3,-23,10.5
2023-11-25 11:41,-1,5,-23,10.5
2023-11-25 11:41,-1,2,-23,10.5
2023-11-25 11:41,-2,7,-22,10.5
2023-11-25 11:41,-1,4,-23,10.5
2023-11-25 11:41,-1,-2,-22,10.5
2023-11-25 11:41,-2,2,-24,10.5
2023-11-25 11:41,-3,1,-23,10.5
2023-11-25 11:41,-1,4,-24,10.5
2023-11-25 11:41,-4,3,-19,10.5
2023-11-25 11:41,-4,1,-22,10.5
2023-11-25 11:41,-6,4,-23,10.5
2023-11-25 11:41,-1,1,-23,10.5
2023-11-25 11:41,-3,1,-23,10.5
2023-11-25 11:41,-5,1,-24,10.5
2023-11-25 11:41,-4,5,-24,10.5
2023-11-25 11:41,-6,3,-23,10.5
2023-11-25 11:41,-4,3,-22,10.5
2023-11-25 11:41,2,2,-21,10.5
2023-11-25 11:41,-3,4,-20,10.5
2023-11-25 11:41,-2,-1,-23,10.5
2023-11-25 11:41,-1,-1,-22,10.5
2023-11-25 11:41,-7,8,-22,10.5
2023-11-25 11:41,-6,7,-22,10.5
2023-11-25 11:41,-7,6,-21,10.5
2023-11-25 11:41,-6,7,-22,10.5
2023-11-25 11:41,-4,3,-23,10.5
2023-11-25 11:41,-3,4,-23,10.5
2023-11-25 11:41,-5,2,-23,10.5
2023-11-25 11:41,-5,7,-22,10.5
2023-11-25 11:42,-2,2,-22,10.5
2023-11-25 11:42,-2,4,-22,10.5
2023-11-25 11:42,-7,5,-22,10.5
2023-11-25 11:42,-1,2,-21,10.5
2023-11-25 11:42,-3,1,-23,10.5
2023-11-25 11:42,-4,1,-24,10.5
2023-11-25 11:42,-4,4,-25,10.5
2023-11-25 11:42,-4,4,-22,10.5
2023-11-25 11:42,-4,1,-24,10.5
2023-11-25 11:42,-3,3,-23,10.5
2023-11-25 11:42,-7,5,-23,10.5
2023-11-25 11:42,-6,3,-22,10.5
2023-11-25 11:42,-6,5,-22,10.5
2023-11-25 11:42,-1,3,-22,10.5
2023-11-25 11:42,-4,0,-24,10.5
2023-11-25 11:42,-1,1,-23,10.5
2023-11-25 11:42,-1,2,-23,10.5
2023-11-25 11:42,0,2,-23,10.5
2023-11-25 11:42,0,1,-23,10.5
2023-11-25 11:42,-5,3,-21,10.5
2023-11-25 11:42,-2,1,-23,10.5
2023-11-25 11:42,-1,1,-23,10.5
2023-11-25 11:42,-2,1,-23,10.5
