Start,Stop,Proximity ID,Session,RSSI
2020-06-19 11:25,2020-06-19 11:25,30388,21,-19
2020-06-19 11:25,2020-06-19 11:25,30390,0,-75
2020-06-19 11:22,2020-06-19 11:28,30389,401,-77
2020-06-19 11:27,2020-06-19 11:28,30388,42,-44
2020-06-19 11:29,2020-06-19 11:30,30389,49,45
2020-06-19 11:32,2020-06-19 11:32,30390,0,-78
2020-06-19 11:32,2020-06-19 11:32,30386,9,12
2020-06-19 11:32,2020-06-19 11:32,30388,6,4
2020-06-19 11:33,2020-06-19 11:34,30384,34,-48
2020-06-19 11:33,2020-06-19 11:34,30387,112,-69
2020-06-19 11:35,2020-06-19 11:35,30384,0,-81
2020-06-19 11:36,2020-06-19 11:39,30389,196,-64
2020-06-19 11:36,2020-06-19 11:39,30387,209,-58
2020-06-19 11:40,2020-06-19 11:41,30389,15,4
2020-06-19 11:41,2020-06-19 11:42,30387,28,-49
2020-06-19 11:39,2020-06-19 11:42,30384,173,-51
2020-06-19 11:43,2020-06-19 11:44,30384,81,-59
2020-06-19 11:44,2020-06-19 11:44,30387,49,-54
2020-06-19 11:44,2020-06-19 11:45,30390,26,45
2020-06-19 11:47,2020-06-19 11:49,30390,106,-51
2020-06-19 11:49,2020-06-19 11:49,30385,0,-83
2020-06-19 11:46,2020-06-19 11:49,30387,214,-66
2020-06-19 11:50,2020-06-19 11:50,30390,3,45
2020-06-19 11:42,2020-06-19 11:51,30389,534,-74
2020-06-19 11:44,2020-06-19 11:51,30386,421,-76
2020-06-19 11:53,2020-06-19 11:53,30389,0,-84
2020-06-19 11:51,2020-06-19 11:54,30387,221,-69
2020-06-19 11:55,2020-06-19 11:56,30390,45,-19
2020-06-19 11:56,2020-06-19 11:56,30387,9,1
2020-06-19 11:56,2020-06-19 11:56,30389,11,-18
2020-06-19 11:58,2020-06-19 11:58,30387,0,-83
2020-06-19 11:59,2020-06-19 11:59,30390,3,45
2020-06-19 12:01,2020-06-19 12:03,30390,135,-73
2020-06-19 12:01,2020-06-19 12:03,30385,93,-41
2020-06-19 12:02,2020-06-19 12:03,30386,66,-32
2020-06-19 12:02,2020-06-19 12:04,30389,142,-64
2020-06-19 12:04,2020-06-19 12:04,30385,17,-32
2020-06-19 12:06,2020-06-19 12:06,30385,27,2
2020-06-19 12:04,2020-06-19 12:07,30390,151,-70
2020-06-19 12:06,2020-06-19 12:07,30389,69,-56
2020-06-19 12:07,2020-06-19 12:07,30387,0,-83
2020-06-19 12:09,2020-06-19 12:09,30387,39,-45
2020-06-19 12:08,2020-06-19 12:10,30382,152,-70
2020-06-19 12:08,2020-06-19 12:10,30388,172,-67
2020-06-19 12:12,2020-06-19 12:12,30382,3,46
2020-06-19 12:12,2020-06-19 12:12,30387,30,-39
2020-06-19 12:18,2020-06-19 12:18,30388,6,4
2020-06-19 12:21,2020-06-19 12:24,30387,179,-49
2020-06-19 12:26,2020-06-19 12:26,30389,0,-87
2020-06-19 12:27,2020-06-19 12:27,30389,0,-82
2020-06-19 12:27,2020-06-19 12:28,30388,67,-62
2020-06-19 12:27,2020-06-19 12:29,30386,90,1
2020-06-19 12:28,2020-06-19 12:29,30385,58,-60
2020-06-19 12:32,2020-06-19 12:32,30386,0,-82
2020-06-19 12:31,2020-06-19 12:34,30385,223,-70
2020-06-19 12:33,2020-06-19 12:34,30388,97,-50
2020-06-19 12:36,2020-06-19 12:38,30386,105,-32
2020-06-19 12:38,2020-06-19 12:39,30384,25,45
2020-06-19 12:36,2020-06-19 12:39,30385,225,-67
2020-06-19 12:36,2020-06-19 12:43,30388,420,-76
2020-06-19 12:41,2020-06-19 12:44,30385,224,-69
2020-06-19 12:45,2020-06-19 12:45,30390,0,-83
2020-06-19 12:45,2020-06-19 12:46,30388,76,-40
2020-06-19 12:46,2020-06-19 12:47,30385,69,-57
2020-06-19 12:47,2020-06-19 12:47,30389,0,-80
2020-06-19 12:47,2020-06-19 12:49,30387,115,-64
2020-06-19 12:52,2020-06-19 12:53,30387,96,-64
2020-06-19 12:54,2020-06-19 12:54,30386,21,4
2020-06-19 12:56,2020-06-19 12:56,30387,6,3
2020-06-19 12:58,2020-06-19 12:58,30387,3,44
2020-06-19 12:59,2020-06-19 12:59,30384,0,-81
2020-06-19 13:00,2020-06-19 13:00,30388,0,-83
2020-06-19 13:03,2020-06-19 13:03,30384,0,-84
2020-06-19 13:01,2020-06-19 13:04,30387,196,-70
2020-06-19 13:02,2020-06-19 13:04,30388,160,-62
2020-06-19 13:06,2020-06-19 13:09,30385,222,-72
2020-06-19 13:06,2020-06-19 13:10,30388,265,-74
2020-06-19 13:11,2020-06-19 13:12,30385,57,-57
2020-06-19 13:13,2020-06-19 13:13,30384,45,-37
2020-06-19 13:12,2020-06-19 13:14,30387,106,-61
2020-06-19 13:11,2020-06-19 13:16,30388,280,-70
2020-06-19 13:16,2020-06-19 13:19,30387,196,-71
2020-06-19 13:22,2020-06-19 13:22,30387,12,48
2020-06-19 13:23,2020-06-19 13:23,30388,6,2
2020-06-19 13:26,2020-06-19 13:26,30388,0,-83
2020-06-19 13:27,2020-06-19 13:27,30388,3,44
2020-06-19 13:32,2020-06-19 13:33,30387,20,-31
2020-06-19 13:33,2020-06-19 13:33,30385,12,2
2020-06-19 13:33,2020-06-19 13:33,30379,24,48
2020-06-19 13:34,2020-06-19 13:34,30387,26,-19
